source,local_index,parent id,domain,Daya Ilokusi,Jenis Ujaran
alfina et al,1,13018,neutral,assertive,neutral
alfina et al,2,13019,neutral,assertive,neutral
alfina et al,3,13020,neutral,expressive,neutral
alfina et al,4,13021,neutral,assertive,neutral
alfina et al,5,13022,neutral,directive,neutral
alfina et al,6,13023,religion,expressive,neutral
alfina et al,7,13024,neutral,directive,neutral
alfina et al,8,13025,neutral,assertive,neutral
alfina et al,9,13026,neutral,assertive,neutral
alfina et al,10,13027,neutral,assertive,neutral
alfina et al,11,13028,neutral,expressive,neutral
alfina et al,12,13029,neutral,assertive,neutral
alfina et al,13,13030,neutral,assertive,neutral
alfina et al,14,13031,neutral,assertive,neutral
alfina et al,15,13032,neutral,assertive,neutral
alfina et al,16,13033,ethnicity,assertive,neutral
alfina et al,17,13034,neutral,assertive,neutral
alfina et al,18,13035,neutral,assertive,neutral
alfina et al,19,13036,neutral,assertive,neutral
alfina et al,20,13037,religion,directive,neutral
alfina et al,21,13038,neutral,assertive,neutral
alfina et al,22,13039,neutral,assertive,neutral
alfina et al,23,13040,neutral,assertive,neutral
alfina et al,24,13041,religion,assertive,neutral
alfina et al,25,13042,neutral,expressive,neutral
alfina et al,26,13043,neutral,expressive,neutral
alfina et al,27,13044,neutral,assertive,neutral
alfina et al,28,13045,neutral,assertive,neutral
alfina et al,29,13046,neutral,directive,neutral
alfina et al,30,13047,neutral,directive,neutral
alfina et al,31,13048,neutral,assertive,neutral
alfina et al,32,13049,neutral,expressive,neutral
alfina et al,33,13050,neutral,directive,neutral
alfina et al,34,13051,neutral,expressive,neutral
alfina et al,35,13052,neutral,commissive,neutral
alfina et al,36,13053,neutral,expressive,neutral
alfina et al,37,13054,neutral,assertive,neutral
alfina et al,38,13055,neutral,expressive,neutral
alfina et al,39,13056,neutral,expressive,neutral
alfina et al,40,13057,neutral,expressive,neutral
alfina et al,41,13058,neutral,assertive,neutral
alfina et al,42,13059,neutral,expressive,neutral
alfina et al,43,13060,neutral,expressive,neutral
alfina et al,44,13061,neutral,expressive,neutral
alfina et al,45,13062,neutral,commissive,neutral
alfina et al,46,13063,religion,expressive,neutral
alfina et al,47,13064,neutral,assertive,neutral
alfina et al,48,13065,religion,assertive,neutral
alfina et al,49,13066,neutral,expressive,neutral
alfina et al,50,13067,neutral,directive,neutral
alfina et al,51,13068,neutral,expressive,neutral
alfina et al,52,13069,neutral,expressive,neutral
alfina et al,53,13070,religion,directive,neutral
alfina et al,54,13071,neutral,expressive,neutral
alfina et al,55,13072,neutral,expressive,neutral
alfina et al,56,13073,neutral,assertive,neutral
alfina et al,57,13074,religion,expressive,neutral
alfina et al,58,13075,neutral,directive,neutral
alfina et al,59,13076,neutral,assertive,neutral
alfina et al,60,13077,neutral,assertive,neutral
alfina et al,61,13078,neutral,assertive,neutral
alfina et al,62,13079,neutral,expressive,neutral
alfina et al,63,13080,neutral,assertive,neutral
alfina et al,64,13081,neutral,assertive,neutral
alfina et al,65,13082,neutral,assertive,neutral
alfina et al,66,13083,neutral,directive,neutral
alfina et al,67,13084,neutral,expressive,neutral
alfina et al,68,13085,neutral,expressive,neutral
alfina et al,69,13086,neutral,expressive,neutral
alfina et al,70,13087,neutral,expressive,neutral
alfina et al,71,13088,neutral,directive,neutral
alfina et al,72,13089,neutral,expressive,neutral
alfina et al,73,13090,neutral,expressive,defamation
alfina et al,74,13091,neutral,expressive,neutral
alfina et al,75,13092,neutral,expressive,neutral
alfina et al,76,13093,neutral,directive,neutral
alfina et al,77,13094,neutral,expressive,neutral
alfina et al,78,13095,neutral,expressive,neutral
alfina et al,79,13096,neutral,directive,neutral
alfina et al,80,13097,neutral,expressive,neutral
alfina et al,81,13098,neutral,expressive,neutral
alfina et al,82,13099,neutral,expressive,neutral
alfina et al,83,13100,neutral,expressive,neutral
alfina et al,84,13101,neutral,expressive,neutral
alfina et al,85,13102,neutral,directive,neutral
alfina et al,86,13103,neutral,expressive,neutral
alfina et al,87,13104,neutral,expressive,neutral
alfina et al,88,13105,neutral,expressive,neutral
alfina et al,89,13106,neutral,expressive,neutral
alfina et al,90,13107,neutral,assertive,neutral
alfina et al,91,13108,neutral,assertive,neutral
alfina et al,92,13109,physical disability,expressive,neutral
alfina et al,93,13110,neutral,expressive,neutral
alfina et al,94,13111,neutral,expressive,neutral
alfina et al,95,13112,neutral,expressive,neutral
alfina et al,96,13113,neutral,expressive,neutral
alfina et al,97,13114,neutral,expressive,neutral
alfina et al,98,13115,neutral,expressive,neutral
alfina et al,99,13116,neutral,expressive,neutral
alfina et al,100,13117,neutral,expressive,neutral
alfina et al,101,13118,neutral,expressive,neutral
alfina et al,102,13119,neutral,expressive,neutral
alfina et al,103,13120,gender,assertive,neutral
alfina et al,104,13121,neutral,expressive,neutral
alfina et al,105,13122,neutral,expressive,neutral
alfina et al,106,13123,gender,assertive,neutral
alfina et al,107,13124,neutral,expressive,neutral
alfina et al,108,13125,neutral,expressive,neutral
alfina et al,109,13126,religion,expressive,neutral
alfina et al,110,13127,religion,directive,neutral
alfina et al,111,13128,neutral,directive,neutral
alfina et al,112,13129,neutral,directive,neutral
alfina et al,113,13130,neutral,expressive,neutral
alfina et al,114,13131,neutral,expressive,neutral
alfina et al,115,13132,neutral,expressive,neutral
alfina et al,116,13133,neutral,expressive,neutral
alfina et al,117,13134,neutral,directive,neutral
alfina et al,118,13135,neutral,expressive,neutral
alfina et al,119,13136,neutral,expressive,neutral
alfina et al,120,13137,neutral,assertive,neutral
alfina et al,121,13138,neutral,directive,neutral
alfina et al,122,13139,neutral,assertive,neutral
alfina et al,123,13140,neutral,expressive,neutral
alfina et al,124,13141,gender,expressive,neutral
alfina et al,125,13142,neutral,assertive,neutral
